"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"DDB_G0267212",22.1443452157951,-0.440797835516941,0.257905959728933,-1.75623580846656,0.0790481527856304,0.165335550364549,"not sig."
"DDB_G0267354",594.889990064897,0.209515266081334,0.19205132203825,0.938391498276704,0.348043253422406,0.504419122833088,"not sig."
"DDB_G0267370",24.3263994445056,0.329944597816646,0.275889524099666,1.31108280383102,0.189829789815019,0.324603205544716,"not sig."
"DDB_G0267374",6026.21235933118,0.298396526340655,0.0915997881650756,3.09202028007978,0.00198799267029713,0.00780307802627029,"FDR 0.05"
"DDB_G0267376",190.557110806499,-0.144623450009948,0.135287956112456,-1.12551778991254,0.26036968299741,0.409814350880239,"not sig."
"DDB_G0267380",36297.2417773145,-0.757203380908653,0.112965518102065,-6.58743866758044,4.47478732873133e-11,8.65397367219339e-10,"FDR 0.05"
"DDB_G0267382",46632.9268205305,0.646497418751423,0.129352892344604,4.58852987256346,4.4637843842883e-06,3.5887811953227e-05,"FDR 0.05"
"DDB_G0267384",105.485999671376,-0.0912114766088744,0.18055211218777,-0.524516029693477,0.599919673627874,0.733062468206771,"not sig."
"DDB_G0267386",14770.0872821367,0.0969757332807873,0.125330875371411,0.700500074697658,0.483615058530906,0.635390257958433,"not sig."
"DDB_G0267388",804.17610759708,-0.328220244071931,0.124402475106135,-2.82353699074179,0.00474969446939444,0.0162077596644529,"FDR 0.05"
"DDB_G0267390",6470.12822966389,-0.38889348459726,0.0975319766548848,-3.94179225142672,8.08750133464108e-05,0.000486970825043282,"FDR 0.05"
"DDB_G0267392",66.0144044439794,-0.352529379648315,0.187742696753484,-1.86253171225198,0.0625281797313572,0.138353986426693,"not sig."
"DDB_G0267394",1467.20441750178,1.13207995506517,0.129701309417304,8.21107866702496,2.1921019939913e-16,6.89294293666155e-15,"FDR 0.05"
"DDB_G0267396",430.406111063178,-0.414122886064244,0.128039380474721,-2.86262380963539,0.00420149075581972,0.0146311142399136,"FDR 0.05"
"DDB_G0267398",7.85961848156229,-0.315645312816406,0.339021355855777,-0.558307190677044,0.576634635589381,0.713856526123337,"not sig."
"DDB_G0267400",71444.6355701588,0.0322832011145551,0.0669443029377635,0.471779314219653,0.637084317437297,0.761273167493687,"not sig."
"DDB_G0267402",25430.6247998318,-0.180899214659021,0.144992649282393,-1.37128123704004,0.170287302388845,0.297967682869187,"not sig."
"DDB_G0267404",787.520121212788,-0.287925126402642,0.126966993144118,-1.99948487077185,0.0455559172074359,0.106960657381397,"not sig."
"DDB_G0267406",267.293885665538,-0.149419266798462,0.123817896120196,-1.32172571528863,0.186259502407466,0.319915673768841,"not sig."
"DDB_G0267408",2281.2337697881,-0.0330527553320477,0.151798887795504,-0.216551071114199,0.82855822041751,0.898283653600391,"not sig."
"DDB_G0267410",123.384710109522,-0.0103988497509369,0.183968533573434,-0.658156082004925,0.510437842072666,0.659807746528156,"not sig."
"DDB_G0267414",602.211109336281,0.140537131627315,0.0880482717725959,1.79113085045585,0.0732722995436415,0.156105852729113,"not sig."
"DDB_G0267416",5422.9473021735,-0.239786773284859,0.128482403577149,-1.55375214895712,0.120243548565026,0.227668984682666,"not sig."
"DDB_G0267418",157557.326856067,0.700470049787185,0.136466592041565,4.58519335565743,4.53566496834489e-06,3.63967822128999e-05,"FDR 0.05"
"DDB_G0267420",14325.3386328221,-0.0646046167196042,0.143836980851417,-0.830240210147013,0.406402985029091,0.563232344579984,"not sig."
"DDB_G0267422",279.292190662484,0.25559793405488,0.111727335208074,2.24832263631934,0.0245556243188715,0.0648855432515466,"FDR 0.1"
"DDB_G0267424",326.487519073271,0.181469712035891,0.113674924125797,1.27702433770916,0.201593655054836,0.338782686345123,"not sig."
"DDB_G0267426",3641.03451461765,-0.277175880422917,0.13272083370613,-2.58694804723384,0.0096830190563711,0.0298290391105191,"FDR 0.05"
"DDB_G0267428",126.439690088777,0.398901156904719,0.146066761791905,3.04686005695525,0.00231245342321625,0.00883959007794055,"FDR 0.05"
"DDB_G0267430",114.040820461908,-0.289161133109152,0.173872968004642,-1.62684477383195,0.103770069622584,0.203937011827718,"not sig."
"DDB_G0267432",103.771910054755,0.976597635491464,0.174992669953326,5.71786485979492,1.07870876297849e-08,1.45368847582339e-07,"FDR 0.05"
"DDB_G0267436",17078.5507694285,-0.0515655262871523,0.104992077322397,-0.448465459627113,0.653817308626428,0.772310738231155,"not sig."
"DDB_G0267438",721.455445956159,-0.23698710853668,0.14798677113221,-1.19444498222707,0.232303949953753,0.377687583048618,"not sig."
"DDB_G0267440",9.18948823993757,-0.0254589961823913,0.312175717130536,-0.0696299905265595,0.944488165876831,0.969148317960659,"not sig."
"DDB_G0267442",174.680486948272,0.374682479941084,0.132395452920725,2.60959788067328,0.00906487090726318,0.0282114200889532,"FDR 0.05"
"DDB_G0267444",2172.83406251861,0.460542012490633,0.0942770112744141,4.85020124215373,1.23336275328035e-06,1.11872326659724e-05,"FDR 0.05"
"DDB_G0267446",172.857645639945,0.200528241173167,0.168958803696859,0.767892374577531,0.442551128073475,0.596769230836055,"not sig."
"DDB_G0267448",507.419566377363,0.019322595562957,0.14849158613415,0.334576694736815,0.73794442757068,0.833685720568872,"not sig."
"DDB_G0267450",2370.82085891687,0.316983927613794,0.09993820283786,3.08206063472205,0.00205572958173859,0.00802443409147614,"FDR 0.05"
"DDB_G0267452",6693.49497540751,0.453011145248158,0.112034019484826,3.94515374803829,7.97487927497483e-05,0.000480871626736763,"FDR 0.05"
"DDB_G0267454",239774.129856485,0.422962313420231,0.118519913206155,3.2449316928455,0.00117478800251264,0.00498199307758856,"FDR 0.05"
"DDB_G0267456",189.993276980282,-2.47492828301889,0.209072412003744,-11.8444112690055,2.30028037658616e-32,1.82517573805762e-30,"FDR 0.05"
"DDB_G0267458",36.0884403757647,1.07048218916365,0.259704860232042,4.16681724615543,3.08881927265203e-05,0.000206002165159589,"FDR 0.05"
"DDB_G0267460",191.816653954786,0.868481719980175,0.130058199648121,6.3354034301545,2.36721045401775e-10,4.16099725768337e-09,"FDR 0.05"
"DDB_G0267462",245.607268718536,0.0949889834873874,0.15172927810813,0.856835282694702,0.391535923389354,0.548356976175456,"not sig."
"DDB_G0267464",1342.45301054769,-0.160007057738309,0.137157623091612,-1.20980232425299,0.226354754158449,0.370394679467399,"not sig."
"DDB_G0267470",101.931303499111,-0.045091904209993,0.177612646411954,-1.01173632509846,0.311664142293697,0.467182065166006,"not sig."
"DDB_G0267472",1636.91118974077,-0.0216072422209961,0.106633861803489,-0.223381112706717,0.823238902840509,0.894916553792051,"not sig."
"DDB_G0267476",14.7069671973645,-0.695467836805354,0.27844865317078,-2.5899587504599,0.00959874329785716,0.0296016456951715,"FDR 0.05"
"DDB_G0267480",606.239014703515,-0.359731472659117,0.175472849375338,-1.53993329525864,0.123576613877949,0.232889112502506,"not sig."
"DDB_G0267482",233.104882713989,0.08679917087458,0.168987463670538,0.425345743185138,0.670584652102069,0.78543708010357,"not sig."
"DDB_G0267484",161.825595611384,0.836373665352889,0.134352202513293,5.77477066190258,7.70579687184561e-09,1.0603276408747e-07,"FDR 0.05"
"DDB_G0267486",473.34646492101,0.182833384512774,0.155602438745618,1.03762496383091,0.299444691075667,0.453736467469644,"not sig."
"DDB_G0267488",35.390813646585,0.276316142044306,0.250373780979612,0.832158337269363,0.405319576911921,0.562092489849742,"not sig."
"DDB_G0267490",108.747320427046,1.14589030283519,0.181037022940712,5.18635094033393,2.14454520194027e-07,2.31349285444383e-06,"FDR 0.05"
"DDB_G0267492",1125.96491205852,0.467027014104168,0.118490322560381,3.99949605250776,6.34775065169814e-05,0.000394527108586509,"FDR 0.05"
"DDB_G0267494",9.45551937177313,0.422842036326331,0.289211648699178,1.12692406781466,0.259774586491959,0.409105219684054,"not sig."
"DDB_G0267496",1697.10305208746,0.185602911077781,0.117872710557251,1.24904094091613,0.211650099892394,0.35130192533459,"not sig."
