value	time	gene
2	-0.43160508349129	090	racA
42	1.33037035609112	360	racA
82	-1.10593834387369	negative	racA
122	-0.179628835629308	positive	racA
162	-0.336308997641877	090	racA
202	1.71748679788996	360	racA
242	-0.837194767960588	negative	racA
282	-0.15718112538433	positive	racA
11	0.635879377919177	090	vatA
51	1.13132474586568	360	vatA
91	-1.65827447196345	negative	vatA
131	-0.140102002974943	positive	vatA
171	0.184820496683882	090	vatA
211	1.24010251667139	360	vatA
251	-0.65830320072972	negative	vatA
291	-0.735447461472007	positive	vatA
12	-0.617084937120577	090	alyL
52	0.446569236031696	360	alyL
92	-0.658022157331605	negative	alyL
132	-0.889988343099789	positive	alyL
172	-0.00260849759407599	090	alyL
212	2.23956606435878	360	alyL
252	-0.109781439066175	negative	alyL
292	-0.408649926178274	positive	alyL
18	-0.551756270063129	090	myoK
58	1.22034236629083	360	myoK
98	-1.41521003296107	negative	myoK
138	0.186817651679792	positive	myoK
178	-0.174581333497779	090	myoK
218	1.49202117655133	360	myoK
258	-0.937833378807883	negative	myoK
298	0.18019982080792	positive	myoK
21	0.538352730498228	090	vsp35
61	1.40747761114432	360	vsp35
101	-1.44569866550802	negative	vsp35
141	-0.362590319044188	positive	vsp35
181	-0.239462423765018	090	vsp35
221	1.30137130150746	360	vsp35
261	-0.462946480426674	negative	vsp35
301	-0.736503754406081	positive	vsp35
23	-0.196256001127629	090	syn7A
63	0.941962790754189	360	syn7A
103	-1.02173550830721	negative	syn7A
143	-0.0668048328905139	positive	syn7A
183	-0.32194408351058	090	syn7A
223	2.00319769995067	360	syn7A
263	-0.586595883508018	negative	syn7A
303	-0.751824181360888	positive	syn7A
24	-0.679975203290318	090	syn8A
64	1.5984020711356	360	syn8A
104	-0.154565865482301	negative	syn8A
144	-0.280544519934157	positive	syn8A
184	-0.450775216958088	090	syn8A
224	1.3424137227135	360	syn8A
264	-1.36924915621326	negative	syn8A
304	-0.00570583197098077	positive	syn8A
26	-0.475286890685116	090	vacC
66	0.512464426837966	360	vacC
106	-0.579881873532217	negative	vacC
146	-0.555635137675539	positive	vacC
186	-0.336492699043325	090	vacC
226	2.31550298040666	360	vacC
266	-0.484591848865464	negative	vacC
306	-0.396078957442968	positive	vacC
28	-0.719612251053823	090	p62
68	1.2805475474442	360	p62
108	-0.78494207448717	negative	p62
148	-0.17703632391439	positive	p62
188	-0.376486533092421	090	p62
228	1.79287152576893	360	p62
268	-0.909722106007317	negative	p62
308	-0.105619784657981	positive	p62
30	-0.226904584084267	090	rab8A
70	2.05346949531514	360	rab8A
110	-0.98973790604878	negative	rab8A
150	0.515436876739313	positive	rab8A
190	-0.579119350809235	090	rab8A
230	0.437469374650856	360	rab8A
270	-0.942181821569167	negative	rab8A
310	-0.268432084193798	positive	rab8A
31	-0.585702482269654	090	cybA
71	1.59294577183028	360	cybA
111	-0.414125636733736	negative	cybA
151	-0.164618511882217	positive	cybA
191	-0.441400434123942	090	cybA
231	1.41442914240702	360	cybA
271	-1.31039199754081	negative	cybA
311	-0.0911358516869536	positive	cybA
25	-0.997772564460022	090	vacB
65	0.386812349029466	360	vacB
105	-1.32412594928891	negative	vacB
145	-0.408597019297913	positive	vacB
185	0.120283697711711	090	vacB
225	1.92626485459009	360	vacB
265	-0.13905753515755	negative	vacB
305	0.436192166873132	positive	vacB
27	-1.10280977974946	090	mcln
67	0.207159081756631	360	mcln
107	-0.727352000064681	negative	mcln
147	-0.267893038103803	positive	mcln
187	0.0209438115107156	090	mcln
227	1.98843999120797	360	mcln
267	-0.826947146414905	negative	mcln
307	0.708459079857542	positive	mcln
