value	time	gene
3	0.361787032290684	090	lmpB
43	1.19640721418003	360	lmpB
83	-0.129225265110215	negative	lmpB
123	-0.283765824551956	positive	lmpB
163	-0.549484596944594	090	lmpB
203	1.60161490733873	360	lmpB
243	-0.926537578510942	negative	lmpB
283	-1.27079588869176	positive	lmpB
4	0.457802221568846	090	corA
44	1.56588941748001	360	corA
84	0.00751232123823965	negative	corA
124	-0.656830628628574	positive	corA
164	-0.285173919231086	090	corA
204	1.07542210380301	360	corA
244	-0.678408215009776	negative	corA
284	-1.48621330122068	positive	corA
5	0.0939171391803323	090	corB
45	1.58359766093028	360	corB
85	-0.254631929772976	negative	corB
125	0.0251140699345808	positive	corB
165	-0.665884375898531	090	corB
205	1.3242386932857	360	corB
245	-1.01738489040979	negative	corB
285	-1.0889663672496	positive	corB
6	0.329267923392298	090	rab5A
46	1.66010880451962	360	rab5A
86	0.140003561798712	negative	rab5A
126	0.404148896931993	positive	rab5A
166	-0.877691161120026	090	rab5A
206	0.675707050393629	360	rab5A
246	-1.10367966075286	negative	rab5A
286	-1.22786541516334	positive	rab5A
7	0.701993917229108	090	arcA
47	1.4637343951166	360	arcA
87	0.742687175782411	negative	arcA
127	-0.25856769693281	positive	arcA
167	-0.621236354252419	090	arcA
207	0.342467288670727	360	arcA
247	-0.720771112721825	negative	arcA
287	-1.65030761289179	positive	arcA
8	0.498770189087427	090	arcC
48	1.4189630390649	360	arcC
88	0.931936047874805	negative	arcC
128	-0.268839795933515	positive	arcC
168	-0.676896452803614	090	arcC
208	0.444146172092709	360	arcC
248	-0.735405375223061	negative	arcC
288	-1.61267382415962	positive	arcC
9	0.764085876156736	090	arcE
49	1.34617548839221	360	arcE
89	0.691856330214983	negative	arcE
129	-0.205887250270251	positive	arcE
169	-0.492179928874666	090	arcE
209	0.282635530590832	360	arcE
249	-0.517817109574762	negative	arcE
289	-1.8688689366351	positive	arcE
10	0.235282483694813	090	racH
50	1.54707754303523	360	racH
90	0.662073142507394	negative	racH
130	-0.308825402880516	positive	racH
170	-0.627602729083057	090	racH
210	0.671181916968823	360	racH
250	-0.457659536262264	negative	racH
290	-1.72152741798041	positive	racH
14	0.338179247062887	090	wshA
54	1.68281437090537	360	wshA
94	0.377909835929425	negative	wshA
134	0.0904804420023686	positive	wshA
174	-0.906774619997924	090	wshA
214	0.694325980375551	360	wshA
254	-1.08269049879281	negative	wshA
294	-1.19424475748488	positive	wshA
15	0.208185763813933	090	ccdc53
55	1.75910520519605	360	ccdc53
95	0.268604332533252	negative	ccdc53
135	-0.0374260434107079	positive	ccdc53
175	-0.938694250228634	090	ccdc53
215	0.838268071597476	360	ccdc53
255	-1.0047161697457	negative	ccdc53
295	-1.09332690975565	positive	ccdc53
17	0.196865089386483	090	myoB
57	1.88702209508365	360	myoB
97	-0.51778919380375	negative	myoB
137	-0.633484732613991	positive	myoB
177	-0.397809657176866	090	myoB
217	1.09938764036002	360	myoB
257	-0.93706849252423	negative	myoB
297	-0.697122748711329	positive	myoB
20	0.644876777949736	090	ehd
60	1.30835070128129	360	ehd
100	-0.214190637704451	negative	ehd
140	-0.353387772387472	positive	ehd
180	-0.162814804701032	090	ehd
220	1.21164084260461	360	ehd
260	-0.868185178323781	negative	ehd
300	-1.56628992871887	positive	ehd
22	0.765092033842178	090	abpB
62	1.40320284248801	360	abpB
102	0.594217119364893	negative	abpB
142	-0.39770900975057	positive	abpB
182	-0.318640589833949	090	abpB
222	0.391583877076563	360	abpB
262	-0.623803259727474	negative	abpB
302	-1.81394301345965	positive	abpB
29	0.400722040869518	090	arf1
69	1.80395568317595	360	arf1
109	0.655547052787806	negative	arf1
149	-0.129881661135371	positive	arf1
189	-0.648141047459982	090	arf1
229	0.0781075775358127	360	arf1
269	-0.644897392796371	negative	arf1
309	-1.51541225297735	positive	arf1
39	0.638952722758529	090	arcB
79	1.38484419125484	360	arcB
119	0.949773011326854	negative	arcB
159	-0.126293293373613	positive	arcB
199	-0.674828957326	090	arcB
239	0.239895146994441	360	arcB
279	-0.797953045670258	negative	arcB
319	-1.61438977596476	positive	arcB
40	0.659761741742523	090	arpC
80	1.41856964095567	360	arpC
120	0.644793073952646	negative	arpC
160	-0.435392097155702	positive	arpC
200	-0.48732445346207	090	arpC
240	0.48686550024731	360	arpC
280	-0.489145574248046	negative	arpC
320	-1.79812783203231	positive	arpC
