value	time	gene
1	0.646873382465389	090	far1
41	-0.944016150140222	360	far1
81	1.37932105009436	negative	far1
121	0.0455540243172589	positive	far1
161	-0.055486786761247	090	far1
201	-1.53752654010456	360	far1
241	1.04210846745696	negative	far1
281	-0.576827447327912	positive	far1
35	0.00523390784621511	090	ncfA
75	-1.10388136482642	360	ncfA
115	-0.0810092120076458	negative	ncfA
155	-0.370342657669464	positive	ncfA
195	0.58184850965388	090	ncfA
235	-1.49864308026447	360	ncfA
275	1.30649799536957	negative	ncfA
315	1.16029590189835	positive	ncfA
33	-0.384122743599584	090	clkB
73	-1.29324244964698	360	clkB
113	-0.942429121043212	negative	clkB
153	0.513109237249817	positive	clkB
193	0.795680709146213	090	clkB
233	-0.86908884262672	360	clkB
273	0.726939502482772	negative	clkB
313	1.45315370803768	positive	clkB
34	0.0184182650539845	090	nramp1
74	-1.75815554808167	360	nramp1
114	-0.692981248427293	negative	nramp1
154	-0.496948703116602	positive	nramp1
194	1.26163252316838	090	nramp1
234	-0.0996961168137121	360	nramp1
274	0.790922602867535	negative	nramp1
314	0.976808225349383	positive	nramp1
