value	time	gene
13	-0.716241508964648	090	fam21
53	0.145044674892035	360	fam21
93	-1.93047553619507	negative	fam21
133	-0.14387197595372	positive	fam21
173	0.308342206708214	090	fam21
213	1.02997670012955	360	fam21
253	0.058558475157852	negative	fam21
293	1.24866696422576	positive	fam21
16	-1.09292190368745	090	washc5
56	-0.240656352056573	360	washc5
96	-1.6296929223406	negative	washc5
136	0.287127404249461	positive	washc5
176	0.206907318013138	090	washc5
216	0.841047724629039	360	washc5
256	0.130868970974019	negative	washc5
296	1.49731976021894	positive	washc5
19	-0.0647107154874159	090	dymA
59	0.42265526343973	360	dymA
99	-1.9652855293026	negative	dymA
139	-0.218042291241314	positive	dymA
179	0.209768051327618	090	dymA
219	0.799847155249175	360	dymA
259	-0.564429836905235	negative	dymA
299	1.38019790292008	positive	dymA
36	-0.528676700929116	090	Dd5P4
76	-0.821819893659253	360	Dd5P4
116	-1.61925952187327	negative	Dd5P4
156	0.530803469911067	positive	Dd5P4
196	-0.256448137049611	090	Dd5P4
236	0.589963980087814	360	Dd5P4
276	0.547196852342017	negative	Dd5P4
316	1.55823995117037	positive	Dd5P4
37	-1.07601374366058	090	swip
77	-0.370952404593113	360	swip
117	-1.49592742060875	negative	swip
157	0.34736508741497	positive	swip
197	-0.0288362801462827	090	swip
237	0.675932715386683	360	swip
277	0.270576520527784	negative	swip
317	1.6778555256793	positive	swip
