value	time	gene
32	0.988352116263375	090	CP-p34
72	-0.152851842595657	360	CP-p34
112	1.67061848168923	negative	CP-p34
152	0.19921748906411	positive	CP-p34
192	-0.462190548606136	090	CP-p34
232	-0.712906188526373	360	CP-p34
272	0.0337766343462705	negative	CP-p34
312	-1.56401614163485	positive	CP-p34
38	0.789594095569494	090	rab7A
78	0.36132321950338	360	rab7A
118	1.33083027323167	negative	rab7A
158	0.72585709727806	positive	rab7A
198	-0.547075697567394	090	rab7A
238	-0.648752087414013	360	rab7A
278	-0.229932680046445	negative	rab7A
318	-1.78184422055478	positive	rab7A
