collection_date	host	symbiont	%_MOI	infection_prevalence	percent_spores	group
20220902	qs4	bb859	0%_0	0.00101	99.06716418	wt
20220902	qs4	bb859	0%_0	0	100.1865672	wt
20220902	qs4	bb859	0%_0	0.00101	100.7462687	wt
20220902	qs4	bb859	0.05%_0.3	23.9	89.43742824	wt
20220902	qs4	bb859	0.05%_0.3	22.6	93.47014925	wt
20220902	qs4	bb859	0.05%_0.3	22.8	94.07290471	wt
20220902	qs4	bb859	0.25%_1.5	53.3	92.1641791	wt
20220902	qs4	bb859	0.25%_1.5	36.1	91.61882893	wt
20220902	qs4	bb859	0.25%_1.5	39.5	88.43283582	wt
20220902	qs4	bb859	1.25%_7.5	76.7	84.52927669	wt
20220902	qs4	bb859	1.25%_7.5	78.4	86.98335247	wt
20220902	qs4	bb859	1.25%_7.5	74.7	87.87313433	wt
20220908	qs4	bb433	0%_0	0	101.826484	wt
20220908	qs4	bb433	0%_0	0	96.80365297	wt
20220908	qs4	bb433	0%_0	0.00101	101.369863	wt
20220908	qs4	bb433	0.05%_0.3	14.9	96.34703196	wt
20220908	qs4	bb433	0.05%_0.3	18.2	99.543379	wt
20220908	qs4	bb433	0.05%_0.3	14.9	104.56621	wt
20220922	qs864	bb859	0%_0	0	94.8	wt
20220922	qs864	bb859	0%_0	0	98.8	wt
20220922	qs864	bb859	0%_0	0.00102	106.4	wt
20220922	qs864	bb859	0.05%_0.3	13.8	101.7230769	wt
20220922	qs864	bb859	0.05%_0.3	13.2	95.87692308	wt
20220922	qs864	bb859	0.05%_0.3	11.2	91.2	wt
20220922	qs864	bb859	0.25%_1.5	41.5	91.78461538	wt
20220922	qs864	bb859	0.25%_1.5	50	88.86153846	wt
20220922	qs864	bb859	0.25%_1.5	48.9	91.2	wt
20220922	qs864	bb859	1.25%_7.5	74.2	95.29230769	wt
20220922	qs864	bb859	1.25%_7.5	82.8	85.35384615	wt
20220922	qs864	bb859	1.25%_7.5	83.2	85.93846154	wt
20221006	qs864	bb433	0%_0	0.00203	103.1518625	wt
20221006	qs864	bb433	0%_0	0	98.56733524	wt
20221006	qs864	bb433	0%_0	0	98.28080229	wt
20221006	qs864	bb433	0.05%_0.3	9.41	101.2313173	wt
20221006	qs864	bb433	0.05%_0.3	9.58	96.56160458	wt
20221006	qs864	bb433	0.05%_0.3	9.14	96.27507163	wt
20221006	qs864	bb433	0.25%_1.5	47.1	88.8252149	wt
20221006	qs864	bb433	0.25%_1.5	38.4	84.24068768	wt
20221006	qs864	bb433	0.25%_1.5	36.6	83.09455587	wt
20221006	qs864	bb433	1.25%_7.5	67.4	77.93696275	wt
20221006	qs864	bb433	1.25%_7.5	81.8	78.51002865	wt
20221006	qs864	bb433	1.25%_7.5	80.5	81.94842407	wt
20221201	qs864	bb433	0%_0	0	99.94230464	delta
20221201	qs864	bb433	0%_0	0	99.94230464	delta
20221201	qs864	bb433	0%_0	0	100.1152843	delta
20221201	qs864	bb433	0.05%_0.3	8.14	94.52671178	delta
20221201	qs864	bb433	0.05%_0.3	13	94.52671178	delta
20221201	qs864	bb433	0.05%_0.3	7.66	89.60344554	delta
20221201	qs864	bb433	0.25%_1.5	23.4	90.09577217	delta
20221201	qs864	bb433	0.25%_1.5	24.1	94.55332403	delta
20221201	qs864	bb433	0.25%_1.5	22.3	88.12646567	delta
20221201	qs864	bb433	1.25%_7.5	46.5	84.18785268	delta
20221201	qs864	bb433	1.25%_7.5	43	87.14181242	delta
20221201	qs864	bb433	1.25%_7.5	41.7	85.17250593	delta
20230112	qs4	bb433	0%_0	0	97.34929422	delta
20230112	qs4	bb433	0%_0	0	103.8690386	delta
20230112	qs4	bb433	0%_0	0	98.7815755	delta
20230112	qs4	bb433	0.05%_0.3	15.5	92.21026898	delta
20230112	qs4	bb433	0.05%_0.3	13.4	98.7815755	delta
20230112	qs4	bb433	0.05%_0.3	13.3	88.60664927	delta
20230112	qs4	bb433	0.25%_1.5	29.8	91.9868331	delta
20230112	qs4	bb433	0.25%_1.5	31.5	84.68792768	delta
20230112	qs4	bb433	0.25%_1.5	30.8	90.72642557	delta
20230112	qs4	bb433	1.25%_7.5	45.5	89.45455979	delta
20230112	qs4	bb433	1.25%_7.5	49.5	80.97545459	delta
20230112	qs4	bb433	1.25%_7.5	45.9	80.12754408	delta
20230112	qs4	bb859	0%_0	0.00205	101.4025553	delta
20230112	qs4	bb859	0%_0	0	105.6101302	delta
20230112	qs4	bb859	0%_0	0	92.98740548	delta
20230112	qs4	bb859	0.05%_0.3	20.3	91.725133	delta
20230112	qs4	bb859	0.05%_0.3	18.7	100.9817978	delta
20230112	qs4	bb859	0.05%_0.3	16.8	91.30437551	delta
20230112	qs4	bb859	0.25%_1.5	33	96.3534654	delta
20230112	qs4	bb859	0.25%_1.5	31.9	92.77702673	delta
20230112	qs4	bb859	0.25%_1.5	29.8	89.62134555	delta
20230112	qs4	bb859	1.25%_7.5	52.7	95.93270791	delta
20230112	qs4	bb859	1.25%_7.5	53.6	90.04210304	delta
20230112	qs4	bb859	1.25%_7.5	51	89.20058806	delta
20230112	qs864	bb859	0%_0	0	94.30039229	delta
20230112	qs864	bb859	0%_0	0	102.1204248	delta
20230112	qs864	bb859	0%_0	0	103.579288	delta
20230112	qs864	bb859	0.05%_0.3	16.5	96.77125971	delta
20230112	qs864	bb859	0.05%_0.3	16.4	104.0655758	delta
20230112	qs864	bb859	0.05%_0.3	14.2	90.93580686	delta
20230112	qs864	bb859	0.25%_1.5	25.6	95.89068462	delta
20230112	qs864	bb859	0.25%_1.5	36.8	99.38669916	delta
20230112	qs864	bb859	0.25%_1.5	23.6	88.99065592	delta
20230112	qs864	bb859	1.25%_7.5	54.9	94.33982103	delta
20230112	qs864	bb859	1.25%_7.5	55.1	92.88095781	delta
20230112	qs864	bb859	1.25%_7.5	44.6	85.58664175	delta
20230406	qs4	bb433	0%_0	0	105.4539621	wt
20230406	qs4	bb433	0%_0	0	92.856379	wt
20230406	qs4	bb433	0%_0	0	101.6896589	wt
