flow_date	host	symbiont	%_MOI	infection_prevalence	horizontal_transmission	group
20230614	qs864	bb433	0.05%_0.3	14.1235385	1.57025466	tssH
20230614	qs864	bb433	0.05%_0.3	12.4253501	1.70751634	tssH
20230614	qs864	bb433	0.05%_0.3	15.0881094	1.93506068	tssH
20230614	qs864	bb433	0.25%_1.5	17.2776452	2.65340338	tssH
20230614	qs864	bb433	0.25%_1.5	16.1828533	2.74350907	tssH
20230614	qs864	bb433	0.25%_1.5	17.9697317	2.61864677	tssH
20230614	qs864	bb433	1.25%_7.5	30.4817368	5.44300411	tssH
20230614	qs864	bb433	1.25%_7.5	29.1582722	4.66687656	tssH
20230614	qs864	bb433	1.25%_7.5	29.6661224	4.74291206	tssH
20221014	qs864	bb433	0.05%_0.3	15.4392003	2.5899527	wt
20221014	qs864	bb433	0.05%_0.3	15.003654	2.65626039	wt
20221014	qs864	bb433	0.05%_0.3	15.8162047	2.63180146	wt
20221014	qs864	bb433	0.25%_1.5	24.1347093	5.19828389	wt
20221014	qs864	bb433	0.25%_1.5	24.2635773	4.44718398	wt
20221014	qs864	bb433	0.25%_1.5	23.4423717	4.01749481	wt
20221014	qs864	bb433	1.25%_7.5	26.0157507	5.27373077	wt
20221014	qs864	bb433	1.25%_7.5	25.7008155	4.50235994	wt
20221014	qs864	bb433	1.25%_7.5	26.2624026	4.6476607	wt
20221208	qs864	bb433	0.05%_0.3	4.28481019	0.38242066	delta
20221208	qs864	bb433	0.05%_0.3	4.30850343	0.38954586	delta
20221208	qs864	bb433	0.05%_0.3	4.57717315	0.29293589	delta
20221208	qs864	bb433	0.25%_1.5	8.56383696	0.636771	delta
20221208	qs864	bb433	0.25%_1.5	8.35719084	0.59766368	delta
20221208	qs864	bb433	0.25%_1.5	8.54666125	0.51066437	delta
20221208	qs864	bb433	1.25%_7.5	12.8298004	0.91412994	delta
20221208	qs864	bb433	1.25%_7.5	13.1627412	0.84733514	delta
20221208	qs864	bb433	1.25%_7.5	12.9121751	0.70664389	delta
20230724	qs864	bb859	0.05%_0.3	1.19807437	0.25738312	kanR
20230724	qs864	bb859	0.05%_0.3	0.98049944	0.33888863	kanR
20230724	qs864	bb859	0.05%_0.3	1.22822082	0.25337459	kanR
20230724	qs864	bb859	0.25%_1.5	2.8981271	0.58393276	kanR
20230724	qs864	bb859	0.25%_1.5	2.36600256	0.37097339	kanR
20230724	qs864	bb859	0.25%_1.5	3.33771268	0.44703635	kanR
20230724	qs864	bb859	1.25%_7.5	4.91143833	1.03906484	kanR
20230724	qs864	bb859	1.25%_7.5	3.75307475	0.77627228	kanR
20230724	qs864	bb859	1.25%_7.5	4.25606753	1.05896801	kanR
20230724	qs864	bb859	0.05%_0.3	16.5247942	4.89819439	tssH
20230724	qs864	bb859	0.05%_0.3	15.6033309	5.0021326	tssH
20230724	qs864	bb859	0.05%_0.3	16.0033806	4.7701299	tssH
20230724	qs864	bb859	0.25%_1.5	35.4356838	11.7753127	tssH
20230724	qs864	bb859	0.25%_1.5	34.2604011	11.8021893	tssH
20230724	qs864	bb859	0.25%_1.5	35.0818956	11.8064021	tssH
20230724	qs864	bb859	1.25%_7.5	50.8608681	20.9501959	tssH
20230724	qs864	bb859	1.25%_7.5	49.9593103	21.5524097	tssH
20230724	qs864	bb859	1.25%_7.5	49.4044199	20.383108	tssH
20220930	qs864	bb859	0.05%_0.3	1.64506739	0.3157687	delta
20220930	qs864	bb859	0.05%_0.3	1.64519346	0.42601999	delta
20220930	qs864	bb859	0.05%_0.3	1.80321892	0.32503923	delta
20220930	qs864	bb859	0.25%_1.5	7.98869077	1.15011742	delta
20220930	qs864	bb859	0.25%_1.5	8.22188998	0.98299071	delta
20220930	qs864	bb859	0.25%_1.5	7.87978686	1.14125239	delta
20220930	qs864	bb859	1.25%_7.5	7.6784438	1.50756638	delta
20220930	qs864	bb859	1.25%_7.5	7.24945383	1.01455108	delta
20220930	qs864	bb859	1.25%_7.5	7.10321166	1.09187965	delta
20220930	qs864	bb859	0.05%_0.3	20.4819651	6.27898622	wt
20220930	qs864	bb859	0.05%_0.3	20.6643819	6.27556387	wt
20220930	qs864	bb859	0.05%_0.3	20.9702067	6.00981401	wt
20220930	qs864	bb859	0.25%_1.5	38.8076919	10.4425574	wt
20220930	qs864	bb859	0.25%_1.5	35.9616832	9.99248846	wt
20220930	qs864	bb859	0.25%_1.5	39.8515003	10.4594883	wt
20220930	qs864	bb859	1.25%_7.5	52.9366732	20.0619477	wt
20220930	qs864	bb859	1.25%_7.5	52.5882997	18.1368129	wt
20220930	qs864	bb859	1.25%_7.5	51.6456758	19.7124914	wt
